Recipe,Ingredients,Procedure
Marinated Beef Pot Roast,"3 pounds roast, trimmed. 2 tablespoons oil Flour and water paste, optional 1 cup tomato juice 3 tablespoons mustard, prepared 4 tablespoons worcestershire sauce 1 teaspoon basil 1 teaspoon oregano 1 teaspoon onion powder 1 teaspoon garlic salt 1/4 teaspoon fresh ground black pepper ",Combine marinade ingredients and pour over roast in a shallow bowl. Cover and refrigerate overnight or for 24 hrs. Remove meat from marinade and pat dry with paper towels. Heat oil in large skillet and brown meat on all sides. Place in cooker. Cover and cook on LOW 8-10 hrs. serve with accumulated gravy. (This may be thickened in a saucepan with flour and water paste if you wish.) 
Ham And Scalloped Potatoes,"8 slices Of ham 10 medium Potatoes, thinly sliced 1 cup Grated Cheddar 2 Onions, thinly sliced 1 can Cream of mushroom soup Paprika Salt and pepper to taste Ham And Scalloped Potatoes ","Toss sliced potatoes in 1/2 teaspoon cream of tartar and 1 cup water. Drain. Put half of ham, potatoes, and onions in crockpot. Sprinkle with salt and pepper, then grated cheese. Repeat with remaining half. Spoon undiluted soup over top. Sprinkle with paprika. Cover and cook on low 8 to 10 hours. (High: 4 hours). "
Crockpot Corn,1 large Bag frozen corn 8 ounces Pkg. cream cheese 1 Stick margarine Salt and pepper to taste Crockpot Corn ,"Melt cream cheese and margarine in microwave. Spray crockpot with vegetable spray. Put melted cream cheese and margarine in crockpot. Add corn, salt and pepper. Cook in crockpot for two hours on low. "
Coca-Cola Pot Roast,"3 pounds Beef 2 tablespoons Oil 1 can Tomatoes 1 cup Coca—Cola 1 each Onions, chopped 1 package Spaghetti sauce mix 1-1/2 teaspoons Salt 1/2 teaspoon Garlic salt Coca-Cola Pot Roast ","Brown meat in oil for ten minutes on each side; remove to crockpot. Drain fat. Break up tomatoes in their juice; add remaining ingredients, stirring until spaghetti sauce mix is dissolved. Pour over meat. Cover; simmer until meat is tender. Thicken gravy; serve over sliced meat. "
Antipasto,"1/2 Pound sliced Genoa salami 1 slicing tomato 1 large white onion 2 roasted red bell peppers 1 Pound sliced provolone 2 cans black pitted olives 1 can baby corn on the cob 1 small jar of Pepperoncini peppers 2 stalks of celery 1 can of rolled anchovies extra virgin olive oil Use a long platter, and arrange in the following order: Antipasto ","Salami, provolone, tomato, onion, red peppers, and achovies. Put the baby corns and olives in the center of tray. Take and cut in half celery sticks. Then slice each again length wise. Arrange celery sticks in between each antipasti. Sprinkle some salt lightly on everything. Then drizzle olive oil on everything. Let the antipasti sit covered in the refrigerator till ready to serve. Sitting helps enhance the flavors. "
Sweet & Sour Chicken,"1 each Carrot, cut in pieces 1 each Green pepper, cut in pieces 1 each Onion, quartered 2 tablespoons Tapioca, quick—cooking 4 each chicken breast, cut 8 ounces pineapple chunks in juice, canned un 1/3 cup Dark brown sugar, firmly pa 1/3 cup Red wine vinegar 1 tablespoon Soy sauce 1 teaspoon Chicken bouillon, instant g 1/2 teaspoon Garlic powder 2 tablespoons ginger root, minced 1 teaspoon cilantro, dried Fresh cilantro Rice, hot cooked ",Put vegetables.in bottom of crockpot. Sprinkle tapioca over vegetables. Place chicken on top of vegetables. Combine all other ingredients except rice in a small bowl. Pour over chicken. Cover crockpot and turn to low and cook for 8-10 hours. Before serving make rice. Serve over rice. Leftovers can be reheated in microwave. 
Pasta Dough,8 eggs 2 tsp. salt 4 cups all purpose flour Pasta Dough ,"In a large bowl, combine eggs & salt. Beat well. Add flour, 1 cup at a time until dough sticks together but is still soft. Spread flour on a board, knead dough for 15-20 minutes. Cover and let stand in a warm place for about 1 hour. Knead for another 5 minutes. Flatten small amounts of dough to form a 2"" x 2"" square. Coat square in flour and repeatedly run through pasta machine until desired thickness is obtained, or use rolling pin. Cut paste shape using pasta machine or slice desired shape by hand. Lay out cut pasta on table covered with a table cloth until dry. Pack in plastic bags and store in a cool place. Cook pasta in boiling salted water until tender. Homemade pasta usually takes less time to cook. Top with your favorite sauce. "
Super Easy Crockpot Roast,"1 beef roast, any kind 1 package dried brown gravy mix 1 package dried Italian salad dressingmix 1 package dried ranch dressing mix 1/2 cup water ",Place beef roast in crockpot. Combine the driedmixes together in a bowl and sprinkle over the roast. Pour the wateraround the roast. Cook on low for 7-9 hours. 
Grilled Key Lime Chicken,"3 pounds Chicken breasts; boneless, skinless 1 cup Key lime juice 1 tablespoon Honey 3/4 cup Water 1/2 teaspoon Fresh ground black pepper 1/2 teaspoon Ground thyme 2 tablespoons Vegetable oil 1 tablespoon Fresh ginger; peel, grated Grilled Key Lime Chicken ","Combine all ingredients except chicken in blender or food processor. Process until combined well. Pour over chicken. Cover and let marinate in the refrigerator overnight. Grill over hot coals, turning once, until done. Garnish with cilantro and lime slices. "
Shrimp On The Barbie,"12 Giant Prawns, shelled and heads and tails intact 1/4 cup Butter 1 cup Orange juice (freshly, squeezed) 2 tablespoons Sherry 1 teaspoon Orange Zest (grated) 2 each Green onions, tops and white 1 teaspoon Ginger root, (freshly grated) ","Soak a dozen long wooden skewers in water for 30 minutes. Then push skewers through prawns, lengthwise, from head to tail with only 1 toa skewer. Combine all ingredients in saucepan and cook over medium to low heat, stirring, until butter is completely melted. Dip skewered prawns in the orange sauce and position on oiled grill rack about 4 inches above the coals. Baste liberally with sauce and grill for 2 minutes. Turn the prawn over and baste again, cooking for another 2 minutes. Smaller prawn will be done at this point, but continue basting and turning larger prawn until they are pink and cooked through. Remove from heat immediately when done, as they will get tough if overcooked. Use any remaining sauce for a dip for the prawns. "
Enchiladas,"1 pound Hamburger 1 Onion, chopped 4 1/2 ounces Can chopped chilies 1 can Mild enchilada sauce 10 1/2 ounces Golden mushroom soup 10 1/2 ounces Cheddar cheese soup 10 1/2 ounces Cream of mushroom soup 10 1/2 ounces Cream of celery soup 1 package tortilla chips Enchiladas ","Brown hamburger and chopped onion, pour off grease. Put all ingredients in crock pot except Doritos chips. Mix and cook low 4 to 6 hours. Last 15 minutes before you are ready to eat, add tortilla chips and stir. "
Calamari Imbottiti,"8 small squid 1 small onion,chopped 2 tablespoons raisins 1-1/2 cups bread crumbs 1 teaspoon minced parsley 2 tablespoons grated Parmesan cheese salt and pepper 1 egg ,well beaten 1 #2 can tomatoes 4 tablespoon olive oil 1 clove garlic cover with the following sauce: 1 #2 can tomatoes, 4 tablespoon olive oil, 1 clove garlic. Brown garlic in oil, mash tomatoes with fork, and add. Calamari Imbottiti ","Have fish dealer clean squid thoroughly, removing eyes, outside skin and intestines. Cut off heads and tentacles. Wash well, and drain. Combine remaining ingredients, and fill the cavity in each squid with stuffing. Sew squid closed, or fasten with toothpicks. Place in baking dish or pan, and Simmer for 10 minutes. Then pour over squid and bake in hot oven 400 degree for 35 minutes, or until tender. Serve whole with sauce. "
Corned Beef And Cabbage,"2 medium Onions, sliced 2 1/2 pounds Corned beef brisket 1 cup Apple juice 1/4 cup Brown sugar, packed 2 teaspoons Orange peel, finely shredded 2 teaspoons Prepared mustard 6 Whole cloves 6 Cabbage wedges Corned Beef And Cabbage ","Place onions in crockpot. Trim away any fat that might be present on the brisket. If needed, cut brisket to fit into crockpot; place on top of onions. In a bowl, combine apple juice, sugar, orange peel, mustard, and cloves; pour over brisket. Place cabbage on top of brisket. Cover; cook on low setting for 10 to 12 hours or high setting for 5 — 6 hours. "
Italian Chicken,"1 frying chicken, cut into pieces 1 teaspoon seasoned salt 1/4 cup flour 1/2 teaspoon salt 1/8 teaspoon pepper 2 tablespoons Parmesan cheese, grated 1/2 cup chicken stock 1 can mushrooms, drained 1/2 teaspoon paprika zucchini, sliced into medium pieces freshly ground black pepper parsley to garnish Italian Chicken ","Sprinkle chicken with seasoned salt. Combine flour, salt, pepper, cheese, and paprika. Coat chicken pieces with mixture. Place zucchini in bottom of Crockpot. Pour stock over zucchini. Arrange chicken on top. Cover and cook on low for 6 to 8 hours or until tender. Turn control to high, add mushrooms, cover, and cook on high for another 10-15 minutes. Garnish with freshly ground black pepper and parsley. "
Carolina BBQ Rub,2 tablespoons salt 2 tablespoons sugar 2 tablespoons brown sugar 2 tablespoons ground cumin 2 tablespoons chili powder 2 tablespoons freshly ground black pepper 1 tablespoon cayenne pepper 1/4 cup paprika Carolina BBQ Rub ,"Combine all ingredients in a small bowl and mix well; use as a dry rub on beef, chicken, lamb or pork. "
Cajun Blackening Spices,5 teaspoons paprika 1 teaspoon ground dried oregano 1 teaspoon ground dried thyme 1 teaspoon cayenne pepper 1/2 teaspoon finely ground black pepper 1/2 teaspoon finely ground white pepper 1/2 teaspoon garlic powder Cajun Blackening Spices ,Mix together and store in an air-tight container. 
Jack Daniel's Grilling Sauce,1/2 cup pineapple juice 3 tablespoons soy sauce 1-1/2 teaspoon garlic powder 1/4 cup Jack Daniel's Whiskey Jack Daniel's Grilling Sauce ,"Combine all ingredients and mix well. Dip meat in sauce and place on grill over hot coals. When meat is turned, brush with sauce. Grill to desired degree of doneness. Just before meat is removed from grill, brush again with sauce. Makes enough for 8 servings. "
Spumone Di Zabaglione,6 eggs 1/2 cup sugar 1/2 tsp. nutmeg 1/2 cup marsala 3 tbsp. dark rum 1-1/2 cup heavy cream ,"Separate the eggs and place the yolks in the top part of a double boiler. Place the whites in a stainless steel bowl at room temperature. Add sugar and nutmeg to eggs and beat, off the heat, until it forms ribbons. Add marsala and rum and place over double boiler. Beat until frothy and foamy and quite firm, about 2 to 3 minutes. Remove to ice bath and cool while whisking. Beat the cream to soft peaks and fold egg mixture into whites. Place into ice cream machine and chill according to manufacturer's instructions. Place in freezer, well covered. When ready to serve, scoop into balls and garnish with crushed amaretti cookies. "
Maple Barbecued Chicken,4 skinless chicken thighs 3 tablespoons maple syrup 3 tablespoons chili sauce 1 tablespoon cider vinegar 1 tablespoon canola oil 2 teaspoon Dijon mustard 1 cup Apple Wood Chips 5 minutes. Brush chicken with the oil and season with salt and pepper. Maple Barbecued Chicken ,"Soak Apple Chips in water for 30 minutes. Preheat grill. Combine syrup, chili sauce, vinegar and mustard together in a saucepan. Let simmer for Add wood chips to coals. Place chicken on grill and cook for 10-15 minutes or until fork tender. Turn occasionally and brush generously with sauce in the last few minutes before they are done. "
Chinese Country Ribs,"2 cups Ketchup 2 tablespoons Honey 2 tablespoons White Vinegar 2 tablespoons Soy sauce 1/4 teaspoon Five spice powder, (opt.) 1 small Onion: finely chopped 2 teaspoons Fresh ginger, minced 1 Garlic clove, minced 1 teaspoon Cornstarch, dissolved in 1 Teaspoon cold water 4 pounds Country ribs:, cut into individual Hot cooked rice Chinese Country Ribs ","In a 3-1/2 quart slow cooker, combine ketchup, honey, vinegar, soy sauce, five—spice powder, onion, ginger and garlic. Position a broiler rack 6 inches from the saurce of the heat and preheat the broiler. Broil the ribs, turning once, until browned. About 10 minutes. Transfer the ribs to the slow cooker. Stir to coat the ribs with the sauce. Cover and slow cook until ribs are tender, 5—6 hours on LOW. Transfer the ribs to a platter and cover with aluminum foil to keep warm. Skim the fat from the surface of the sauce. In a medium saucepan bring the sauce to a simmer over a medium heat. Cook until reduced to about | cup. (6-8 minutes) Stir in the cornstarch mixture and cook just until thickened. Pour the sauce over ribs and serve immeadiately with hot cooked rice. "
Cinnamon Honey Wings,"2 1/2 pounds Chicken wings 4 each Garlic cloves, chopped 1/4 cup Olive oil 2 tablespoons Soy sauce 1/4 cup Vinegar, rice 1/4 cup Honey, mild 1-1/2 teaspoons Cinnamon, ground 1 teaspoon Thyme 1/2 teaspoon Ginger, ground 1/2 teaspoon Mustard, dry 1 cup Apple Wood Chips 10 minutes or until done. Serve immediately or refrigerate until needed. Cinnamon Honey Wings ","Mix all ingredients (except chips) in a plastic bag then knead occasionally for 2 hours. Soak wood chips in water for 30 minutes. Prepare fire in grill. Add chips to hot coals. Cook wings on the grill for about 10 minutes on one side, then turn and baste with the marinade. Continue cooking "
Home-Style Bread Pudding,"2 Eggs, slightly beaten 2 1/4 Cup Milk 1 Teaspoon Vanilla 1/2 Teaspoon Cinnamon 1/4 Teaspoon Salt 2 Cup 1-inch bread cubes 1/2 Cup Brown sugar 1/2 Cup Raisins or chopped dates Home-Style Bread Pudding ","In medium mixing bowl, combine eggs with milk, vanilla, cinnamon, salt, bread, sugar, and raisins or dates. Pour into 1 1/2—qt. baking dish. Place metal trivet or rack in bottom of crockpot. Add 1/2 cup hot water. Set baking dish on trivet. Cover pot; cook on high for about 2 hours. Serve pudding warm or cool. "
Insalata Caprese,"4 large fresh tomatoes, sliced 1/4 inch thick 16 ounces fresh mozzarella cheese, sliced 1/4 inch thick 1/3 cup packed whole leaf fresh basil 4 tablespoons extra virgin olive oil fine sea salt to taste freshly ground black pepper to taste 1/4 cup imported olives Insalata Caprese ","On a large platter, arrange tomato and mozzarella slices and basil leaves, alternating and overlapping each. Drizzle salad with olive oil; Sprinkle with salt and pepper. Garnish with imported olives. "
Eggplant Parmigiana,"2 Small Eggplants; unpeeled cut into 1/4-inch rounds 2 Eggs; lightly beaten 1-1/2 Cup Bread crumbs 1/2 Teaspoon Salt 1/8 Teaspoon Pepper 1 Garlic cloves peeled and halved 3/4 Cup Olive oil 20 Ounce Tomatoes, canned 1/3 Cup Tomato paste 2 Tablespoon Minced basil 1 Teaspoon Salt 1/8 Teaspoon Pepper 1 Cup Grated Parmesan cheese 1/2 Pound Mozzarella cheese; thinly sliced Eggplant Parmigiana ","Dip eggplant slices in eggs, then in bread crumbs seasoned with salt and pepper. Refrigerate 20 minutes. In a large saucepan, saute garlic in 2 tablespoons oil for 1-2 minutes. Remove garlic and add tomatoes, tomato paste, basil, salt and pepper. Cover and simmer 30 minutes. Preheat oven to 350F. Brown eggplant in 1/4—-inch oil in a large skillet. Drain on paper towels. Put a thin layer of tomato sauce into a baking dish and layer eggplant, sauce, Parmesan and mozzarella, alternately. End with mozzarella on top. Bake, uncovered, for 30 minutes. "
Savory Swiss Steak,"1-1/2 pounds Round steak 1/4 cup Flour 2 teaspoons Dry mustard 1 teaspoon Salt 1/4 teaspoon Pepper 2 tablespoons Butter 2 tablespoons Oil 1 Onion, finely chopped 2 Carrots, peeled and grated 2 Stalks celery, finely chopped 1 can (16 oz) tomatoes 2 tablespoons Worcestershire sauce 1 tablespoon Brown sugar ","Cut steak into 6 serving—size portions. Coat with a mixture of flour, mustard, salt and pepper. Using a large frying pan, brown meat in half the butter and oil. Transfer to crockpot. Heat remaining butter and oil in frying pan. Saute onions, carrots and celery until glazed. Add tomatoes, Worcestershire and brown sugar. Heat, scraping up drippings. Pour over meat. Cover. Cook on low, 6 to 8 hours, or until tender. Serve meat with sauce spooned over. Sprinkle with parsley. "
Focaccia Versiliese,"2 Teaspoon dried yeast 1 Cup warm water 1 Tablespoon olive oil 1 Tablespoon rosemary, chopped 4 sage leaves, torn 3 1/2 Ounce olives, pitted 2 Tablespoon garlic, minced 2 Cup unbleached all-purpose flour 1 Cup corn flour 2 Teaspoon salt 2 Teaspoon olive oil 30 minutes before baking, preheat oven to 400F. Just before baking, dimple the top of the dough with your fingertips & sprinkle with some extra salt & 2 ts of oil. Bake for 25 to 30 minutes until golden. Slide off baking sheet onto a rack & let cool for a few minutes before eating warm or at room temperature. Focaccia Versiliese ","Stir the yeast into a alrge mixing bowl with the water & let proof for 10 minutes. Stir in the olive oil, rosemary, sage, olives & garlic. Using a wooden spoon, mix in the flours & salt & stir until the dough is thick & smooth. Knead by hand for 8 to 10 minutes until the dough is firm & elastic. Set the dough in a lightly oiled container, cover with plastic wrap & let rise until doubled. Turn the dough onto an oiled 10 1/2"" X 15 1/2"" baking pan & stretch it to fit. If it won't fit, let it rest for 10 minutes & try again. Cover with a towel & leave until it has half risen, about 30 minutes. VARIATION: Focaccia Dolce. Substitute 2 oz raisins & 1 0z pine nuts for the olives, herbs & garlic. Soak the raisins in warm water for 30 minutes before using & toast the pine nuts. "
Italian Tomato Sauce,"2 — 28 ounce cans diced or ground tomatoes or whole tomatoes NOT packed in puree or sauce 3 tablespoons high-quality olive oil 1 large, thick pork chop or 1-1/2 pounds beef chuck, steak preferred 1 medium onion, peeled and finely chopped 1 medium carrot, peeled and finely chopped 4 garlic cloves, peeled and crushed 1/2 cup red wine 1-1/2 teaspoons salt 3 tablespoons fresh basil or Italian parsley, chopped Freshly ground black pepper to taste Add the reserved tomatoes (if using crushed or minced tomatoes, just add heat to low to maintain a slow simmer, partially cover, and cook until the meat is tender, about 45 to 55 minutes, depending on the thickness of the Stir in the basil and/or parsley and add freshly ground black pepper to Italian Tomato Sauce 26 ","If using whole tomatoes, drain them, reserving the liquid and chop. Reserve tomatoes and juice in a bowl. In a nonreactive Dutch oven, heat the olive oil. Season the chop with salt and pepper and brown over medium-high heat on both sides, about 8 minutes total. Remove meat and set aside. Reduce heat to medium-low, add the onion and carrot and saute until softened, 8 to 10 minutes. Add the garlic and saute for 1 minute. Return the meat and any accumulated juices to the pot and add the wine. Bring to a simmer, and cook uncovered for 3 minutes. them directly from the can) and the salt and bring back to a simmer. Reduce meat. Remove meat and keep warm. Raise heat to medium and continue cooking sauce for about 5 minutes, or until sauce has thickened. taste (the sauce will be salty at this point; it will taste fine once added to pasta). Slice the meat and serve with pasta and sauce. "
Tennessee BBQ Sauce,"1 Cup Catsup 1/2 Cup Vinegar 1/4 Cup Worcestershire sauce 2 Cup Water 1 Onions, chopped 1/2 Cup Brown sugar 1 Teaspoon Celery seed 1/2 Teaspoon Salt Tennessee BBQ Sauce ","Combine ingredients in small saucepan and bring to boil. Simmer until reduced to thick sauce, stirring occasionally. "
Chicken Livers,"1 pound Chicken livers 1/2 cup Flour 1 teaspoon Salt 1/4 teaspoon Pepper 3 Bacon slices, diced 3 Green onions, with tops, chopped 1 cup Chicken bouillon 1 can (10 1/2 oz.) Golden Mushroom soup 1 can Sliced mushrooms, 4—ounce (drained) 1/4 cup White wine —— dry or sauterne Chicken Livers ","Cut chicken livers into bite-size pieces; toss in flour, salt and pepper. Fry bacon pieces in large skillet; remove when brown. Add flour—coated chicken livers and green onion to bacon grease in skillet; saute until lightly browned. Pour chicken bouillon into skillet and stir into drippings. Pour all into crockpot. Add browned bacon bits and all remaining ingredients. Cover and cook on Low 4 to 6 hours. Serve over rice, toast or buttered noodles. "
Meatloaf,"1/2 cup whole milk 2 white bread slices 1-1/2 pounds ground beef 2 eggs 1 small onion, peeled 1-1/2 teaspoons salt 1/2 teaspoon pepper 1 teaspoon dry mustard 12 ounces tomatoes, whole ","Place the milk and the bread in a large mixing bowl, and let stand until the bread has adsorbed all the milk. With two forks, break the bread into crumbs. Beat the ground beef into the crumbs until well mixed. make a hollow in the center of the meat and break the eggs into it. Beat the eggs a little; then grate the onions into the eggs. Add salt, pepper and mustard. Beat the eggs into the beef. Shape into a round cake and place in the slow cooker. Drain the tomatoes, and place them on the meat. Cover and cook on Low for 5 to 7 hours. Before serving, uncover the pot; turn the heat to High, and bubble away some of the sauce. It should be thick, not thin. "
Meatballs (Polpette Alla Casalinga),"2 slices Italian bread, torn into small pieces 1/2 Cup milk 2 Thlsp. finely chopped fresh Italian parsley 2 cloves finely chopped garlic 1 teaspoon salt 1 egg lightly beaten 1 pound beef chuck, ground twice 6 Tblsp. freshly grated Romano cheese 1 Tblisp. olive oil 1/4 teaspoon garlic salt Freshly ground black pepper 1 Tblsp. oregano out in one layer on a flat tray or baking sheet, cover them with plastic Meatballs (Polpette Alla Casalinga) 16 ","Soak the pieces of bread in 1/2 cup milk for 5 minutes, then squeeze them dry an discard the milk. In a large mixing bowl, combine the soaked bread, then beaten egg, beef and sausage with the remaining ingredients. Knead the mixture vigorously with both hands or beat with a wooden spoon until all ingredients are well blended and the mixture is smooth and fluffy. Shape the mixture into small balls about 1/1/2 inches in diameter. Lay the meatballs wrap and chill for at least 1 hour. Heat 1/4 cup of olive or vegetable oil in a heated, heavy 10-12 inch skillet until a light haze forms over it. Fry the meatballs 5 or 6 at a time over a moderately high heat, shaking the pan constantly to roll the balls and keep them round. In 8 — 10 minutes, the meatballs should be brown outside and show no trace of pink inside. Add more oil to the skillet as needed. Serve the meatballs hot with tomato sauce. "
Potato Stuffed Cabbage,"1 head cabbage 5 pounds potatoes, peeled 2 onions 1/2 cup rice, raw 1 teaspoon dried dill weed 1/4 teaspoon black pepper, ground 2 egg whites 28 ounces tomatoes 1 apple, peeled and sliced 1/4 teaspoon ground ginger ","Parboil cabbage and separate the leaves. Slice off part of the heavy stalk of each leaf by slicing parallel to the leaf (do not cut into the leaf). Grate potatoes, small inner leaves of cabbage, and one of the onions. Mix together. Add rice, dill, and black pepper. Beat egg whites until frothy and add to potato mixture. Set aside two or three of the largest leaves. Fill each remaining cabbage leaf with approximately 2 tablespoon of the potato mixture. Fold up bottom of leaf, then fold in the sides, and roll up. Secure with toothpick if necessary. Slice the reserved leaves and line the bottom of crock pot with them. Slice second onion and layer on top of cabbage. Add tomatoes, apple, and ginger. Place rolled stuffed cabbages into pot. Cook at low heat for 4 to 5 hours. "
Mediterranean Grilled Vegetables,1 pound Large onion 1 pound Red bell pepper 1 pound Green bell pepper 1 pound Yellow squash 1 pound Zucchini squash 1 cup Olive oil 1/3 cup Italian seasoning ,"Peel onions and cut top—to—bottom in large wedges. Cut tops from bell peppers, remove core, and cut in large top—to—bottom pieces. Trim ends from squash and cut in diagonal rounds, about 1/2"" thick. Toss all vegetables in a large bowl with olive oil and seasoning, breaking up the onion wedges somewhat. Place in a single layer on a very hot grill (watch out for the flare-ups!) and grill, turning occasionally, until peppers are slightly charred and veggies are tender (about 5 minutes). Serve immediately. These are also good refrigerated, then microwaved to reheat. "
Risotto alla Parmigiana,"2 tablespoons unsalted butter 2 tablespoons olive oil 1 medium onion, finely chopped 1 pound Arborio rice 6 cups chicken stock, hot 2 tablespoons butter 3 ounces Parmagiano Reggiano cheese, coarsely grated The rice should be very moist and creamy, but not runny; Risotto alla Parmigiana ","Heat the butter and oil in a large, straight-sided saute pan or saucepan. Add the onion, and saute until soft, without browning. Add the rice, and saute for 2 minutes until the rice is well-coated. Ladle 1/2 cup of stock into the rice, stirring constantly, until all the liquid is absorbed and the rice is almost dry. Add more stock, 1/2 cup at a time, until it's all absorbed by the rice and the rice is al dente. the rice should be firm but tender, not crunchy. Remove from heat, and stir in the raw butter and the Parmagiano cheese. Salt to taste, and serve immediately. "
Baby Back Ribs With Mustard Sauce,"1/3 cup Brown sugar 1/4 cup Onion, finely chopped 1/4 cup Vinegar 1/4 cup Mustard 1/2 teaspoon Celery seed 1/4 teaspoon Garlic powder 4 pounds Pork spareribs, or pork loin ribs, cut into pieces Baby Back Ribs With Mustard Sauce ","For sauce, in a saucepan combine brown sugar, onion, vinegar, mustard, celery seed and garlic powder. Bring to boiling, stirring till sugar dissolves. Preheat grill. Adjust heat for indirect cooking. Place ribs on grill rack over medium heat. Cover and grill for 1 1/4 to 1 1/2 hours or till ribs are tender and no pink remains. Brush occasionally with sauce the last 15 minutes of grilling. "
Molasses Orange Barbecue Sauce,"1 Can Tomato soup, condensed (10 3/4 Ounce) 1 Can Tomato sauce, 8 Ounce can 1/2 Cup Molasses, light 1/2 Cup Vinegar 1/2 Cup Brown sugar, packed 1/4 Cup Vegetable oil 1 Tablespoon Minced onion, instant 1 Tablespoon Seasoned salt 1 Tablespoon Dry mustard 1 Tablespoon Worcestershire sauce 1 Tablespoon Orange peel, finely shredded 1-1/2 Teaspoon Paprika 1/2 Teaspoon Pepper, black 1/4 Teaspoon Garlic powder Molasses Orange Barbecue Sauce ","In a saucepan, combine all ingredients. Bring to a boil; reduce heat and simmer uncovered fo 20 minutes. Use to baste beef or poultry last 15 minutes of grilling. "
Kansas City Rib Rub,1/2 cup brown sugar 1/4 cup paprika 1 tablespoon black pepper 1 tablespoon salt 1 tablespoon chili powder 3/4 tablespoon garlic powder 3/4 tablespoon onion powder 1 teaspoon cayenne Kansas City Rib Rub ,Mix all ingredients together and store in an air tight container. 
